Month,Year,AvgMaxtemp,Ozone
Jan,2016,44.92,0.009
Feb,2016,52.6,0.009
Mar,2016,59.91,0.009
Apr,2016,68.09,0.009
May,2016,75.47,0.009
Jun,2016,84.32,0.009
Jul,2016,88.7,0.009
Aug,2016,87.98,0.009
Sep,2016,83.6,0.009
Oct,2016,72.4,0.009
Nov,2016,65.02,0.009
Dec,2016,52.2,0.009
Jan,2017,,0.009
Feb,2017,,0.009
Mar,2017,,0.009
Apr,2017,,0.009
May,2017,,0.009
Jun,2017,,0.009
Jul,2017,,0.009
Aug,2017,,0.009
Sep,2017,,0.009
Oct,2017,,0.009
Nov,2017,,0.009
Dec,2017,,0.009
Jan,2018,,0.009
Feb,2018,,0.009
Mar,2018,,0.009
Apr,2018,,0.009
May,2018,,0.009
Jun,2018,,0.009
Jul,2018,,0.009
Aug,2018,,0.021
Sep,2018,,0.022
Oct,2018,,0.022
Nov,2018,,0.022
Dec,2018,,0.023
Jan,2019,,0.023
Feb,2019,,0.023
Mar,2019,,0.023
Apr,2019,,0.024
May,2019,,0.024
Jun,2019,,0.024
Jul,2019,,0.024
Aug,2019,,0.024
Sep,2019,,0.025
Oct,2019,,0.025
Nov,2019,,0.025
Dec,2019,,0.025
Jan,2020,,0.025
Feb,2020,,0.025
Mar,2020,,0.025
Apr,2020,,0.025
May,2020,,0.026
Jun,2020,,0.026
Jul,2020,,0.026
Aug,2020,,0.026
Sep,2020,,0.026
Oct,2020,,0.026
Nov,2020,,0.026
Dec,2020,,0.026
Jan,2021,,0.026
Feb,2021,,0.026
Mar,2021,,0.027
Apr,2021,,0.027
May,2021,,0.027
Jun,2021,,0.027
Jul,2021,,0.027
Aug,2021,,0.027
Seo,2021,,0.027
Oct,2021,,0.027
Nov,2021,,0.027
Dec,2021,,0.027
