name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon
DC,2020-09-01,81.7,68.9,74.2,85,68.9,74.5,68.1,81.8,0.09,100,4.17,rain,0,0,NA,8.7,76.1,1017.3,72,9.7,67.9,5.9,3,"Rain, Partially cloudy",rain
DC,2020-09-02,87.1,74.6,79.6,96.5,74.6,83.4,73.7,82.7,0.02,100,8.33,rain,0,0,17.2,15.4,192,1012.5,66.2,9.8,78.6,6.7,4,"Rain, Partially cloudy",rain
DC,2020-09-03,90.9,76.4,81.6,101.5,76.4,85,74.3,79.6,0.37,100,8.33,rain,0,0,29.8,21,131.5,1009.8,47.8,9.6,93.9,8,5,"Rain, Partially cloudy",rain
DC,2020-09-04,89.8,72.8,80.2,92.5,72.8,81.7,69.5,71.9,0.01,100,4.17,rain,0,0,25.3,14.2,252.7,1013.1,34.9,9.9,35.7,3.1,1,"Rain, Partially cloudy",rain
DC,2020-09-05,80.9,64,73.1,80.6,64,73,54.3,53.8,0,0,0,NA,0,0,NA,9.9,236.3,1022.7,35,9.9,72.7,6.2,5,Partially cloudy,partly-cloudy-day
DC,2020-09-06,82.8,62.5,72.8,82.6,62.5,72.9,59.8,65.5,0,0,0,NA,0,0,NA,10.8,153.5,1022.1,17.7,9.9,69.1,5.9,5,Clear,clear-day
DC,2020-09-07,82.8,64.4,73.3,83.8,64.4,73.5,61.3,67.6,0,0,0,NA,0,0,NA,9.1,151.1,1018.5,41.9,9.9,66.7,5.7,4,Partially cloudy,partly-cloudy-day
DC,2020-09-08,85.7,65.5,75.8,87.8,65.5,76.8,65.8,72.3,0,0,0,NA,0,0,NA,7.5,74.2,1019.9,50.8,9.9,63.7,5.5,4,Partially cloudy,partly-cloudy-day
DC,2020-09-09,78.8,72.8,75.4,78.8,72.8,75.4,72.1,89.5,0.66,100,33.33,rain,0,0,NA,15.8,44.6,1023.5,75.2,8.5,38.6,3.4,1,"Rain, Partially cloudy",rain
DC,2020-09-10,79.9,75.6,77.2,79.9,75.6,77.2,74.8,92.2,2.67,100,29.17,rain,0,0,17.2,9.2,95.3,1022,77.5,7.6,43.6,3.7,2,"Rain, Partially cloudy",rain
DC,2020-09-11,79.9,74.6,76.7,79.9,74.6,76.7,71,83.1,0,0,0,NA,0,0,20.8,15.6,144.4,1020.7,84.5,9.7,41.2,3.5,1,Partially cloudy,partly-cloudy-day
DC,2020-09-12,74.8,66.4,71.5,74.8,66.4,71.5,63.4,76.2,0,0,0,NA,0,0,19.7,11,74.8,1023.1,73,9.9,47,4.2,2,Partially cloudy,partly-cloudy-day
