Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1961","1961","3050","FAO TIER 1","tonnes","23323008","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1961","1961","3050","FAO TIER 1","kilotonnes","1.6326","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1961","1961","3050","FAO TIER 1","kilotonnes","62.9721","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1962","1962","3050","FAO TIER 1","tonnes","22551008","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1962","1962","3050","FAO TIER 1","kilotonnes","1.5786","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1962","1962","3050","FAO TIER 1","kilotonnes","60.8877","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1963","1963","3050","FAO TIER 1","tonnes","23968000","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1963","1963","3050","FAO TIER 1","kilotonnes","1.6778","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1963","1963","3050","FAO TIER 1","kilotonnes","64.7136","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1964","1964","3050","FAO TIER 1","tonnes","22407008","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1964","1964","3050","FAO TIER 1","kilotonnes","1.5685","E","Estimated value",""
